,PORTCODE,ASONDATE,VALUE
152,500135,25-11-2013,115017236.2
153,500135,26-11-2013,115017236.2
154,500135,27-11-2013,115017236.2
155,500135,28-11-2013,115017236.2
156,500135,29-11-2013,115017236.2
157,500135,30-11-2013,112544589.39
158,500135,01-12-2013,112544589.39
159,500135,02-12-2013,112544589.39
160,500135,03-12-2013,112544589.39
161,500135,04-12-2013,112544589.39
162,500135,05-12-2013,112544589.39
163,500135,06-12-2013,112544589.39
164,500135,07-12-2013,112544589.39
165,500135,08-12-2013,112544589.39
166,500135,09-12-2013,112544589.39
167,500135,10-12-2013,112544589.39
168,500135,11-12-2013,112544589.39
169,500135,12-12-2013,112544589.39
170,500135,13-12-2013,112544589.39
171,500135,14-12-2013,112544589.39
172,500135,15-12-2013,112544589.39
173,500135,16-12-2013,112544589.39
174,500135,17-12-2013,112544589.39
175,500135,18-12-2013,112544589.39
176,500135,19-12-2013,112544589.39
177,500135,20-12-2013,112544589.39
178,500135,21-12-2013,112544589.39
179,500135,22-12-2013,112544589.39
180,500135,23-12-2013,112544589.39
181,500135,24-12-2013,112544589.39
182,500135,25-12-2013,112544589.39
183,500135,26-12-2013,112544589.39
184,500135,27-12-2013,112544589.39
185,500135,28-12-2013,112544589.39
186,500135,29-12-2013,112544589.39
187,500135,30-12-2013,112544589.39
188,500135,31-12-2013,117587530.6
189,500135,01-01-2014,117587530.6
190,500135,02-01-2014,117587530.6
191,500135,03-01-2014,117587530.6
192,500135,04-01-2014,117587530.6
193,500135,05-01-2014,117587530.6
194,500135,06-01-2014,117587530.6
195,500135,07-01-2014,117587530.6
196,500135,08-01-2014,117587530.6
197,500135,09-01-2014,117587530.6
198,500135,10-01-2014,117587530.6
199,500135,11-01-2014,117587530.6
200,500135,12-01-2014,117587530.6
201,500135,13-01-2014,117587530.6
202,500135,14-01-2014,117587530.6
203,500135,15-01-2014,117587530.6
204,500135,16-01-2014,117587530.6
205,500135,17-01-2014,117587530.6
206,500135,18-01-2014,117587530.6
207,500135,29-05-2017,444939708.99
208,500135,30-05-2017,444939708.99
209,500135,31-05-2017,444939708.99
210,500135,01-06-2017,444939708.99
211,500135,02-06-2017,444939708.99
212,500135,03-06-2017,444939708.99
213,500135,04-06-2017,444939708.99
214,500135,05-06-2017,444939708.99
215,500135,06-06-2017,444939708.99
216,500135,07-06-2017,444939708.99
217,500135,08-06-2017,444939708.99
218,500135,09-06-2017,444939708.99
219,500135,10-06-2017,444939708.99
220,500135,11-06-2017,444939708.99
221,500135,12-06-2017,444939708.99
222,500135,13-06-2017,444939708.99
223,500135,14-06-2017,444939708.99
224,500135,15-06-2017,444939708.99
225,500135,16-06-2017,444939708.99
226,500135,17-06-2017,444939708.99
227,500135,18-06-2017,444939708.99
228,500135,19-06-2017,444939708.99
229,500135,20-06-2017,444939708.99
230,500135,21-06-2017,444939708.99
231,500135,22-06-2017,444939708.99
232,500135,30-04-2016,154.111796393507
233,500135,01-05-2016,154.111796393507
234,500135,02-05-2016,154.111796393507
235,500135,03-05-2016,154.111796393507
236,500135,04-05-2016,154.111796393507
237,500135,05-05-2016,154.111796393507
238,500135,06-05-2016,154.111796393507
239,500135,07-05-2016,154.111796393507
240,500135,08-05-2016,154.111796393507
241,500135,09-05-2016,154.111796393507
242,500135,10-05-2016,154.111796393507
243,500135,11-05-2016,154.111796393507
244,500135,12-05-2016,154.111796393507
245,500135,13-05-2016,154.111796393507
246,500473,25-06-2018,3.3
247,500790,25-07-2018,55.0
248,500790,25-07-2018,0.0
249,500790,25-07-2018,0.0
250,500790,25-07-2018,25600000.0
251,500790,25-07-2018,25599671.03
252,500790,25-07-2018,25600000.0
253,500790,25-07-2018,273.97
254,500790,25-07-2018,10.0
255,500790,25-07-2018,2559967.103
256,500790,17-08-2018,55.0
257,500790,17-08-2018,0.03
258,500790,17-08-2018,274.0
259,500790,17-08-2018,274.0
260,500790,17-08-2018,25599671.0
261,500790,17-08-2018,10.0
262,500790,17-08-2018,2559967.1
